timestamp,source_address,source_port,destination_address,destination_port,interval,transferred_bytes,bits_per_second
20210208145514,192.168.11.5,1234,192.168.11.4,45659,4,0.0-1.0,2917644456,23341155648
20210208145515,192.168.11.5,1234,192.168.11.4,45659,4,1.0-2.0,2376388480,19011107840
20210208145516,192.168.11.5,1234,192.168.11.4,45659,4,2.0-3.0,2369257472,18954059776
20210208145517,192.168.11.5,1234,192.168.11.4,45659,4,3.0-4.0,2895748000,23165984000
20210208145518,192.168.11.5,1234,192.168.11.4,45659,4,4.0-5.0,2942072352,23536578816
20210208145519,192.168.11.5,1234,192.168.11.4,45659,4,5.0-6.0,2462656920,19701255360
20210208145520,192.168.11.5,1234,192.168.11.4,45659,4,6.0-7.0,2366898176,18935185408
20210208145521,192.168.11.5,1234,192.168.11.4,45659,4,7.0-8.0,2536256640,20290053120
20210208145522,192.168.11.5,1234,192.168.11.4,45659,4,8.0-9.0,2942072576,23536580608
20210208145523,192.168.11.5,1234,192.168.11.4,45659,4,9.0-10.0,2942070848,23536566784
20210208145523,192.168.11.5,1234,192.168.11.4,45659,4,0.0-10.0,26751533056,21380241737
